"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",12,"12.2%","14.3%","26.5%","25%","58%",21,37,37,1.6,"60.4%","22.0%","0%",-87,-58,2.3,8.2,"23.9%",472,"29.9%","22.8%",0.45,0.23
"Akali","Middle",1,"1.0%","31.6%","37.8%","100%","100%",10,0,6,16,"80.0%","0.0%","0%",132,248,-13,9.5,"28.4%",760,"37.5%","28.9%",0.28,0.28
"Akali","Top",5,"5.1%","31.6%","37.8%","60%","60%",15,14,24,2.8,"51.3%","24.6%","20%",174,200,2.2,7.7,"21.9%",507,"23.7%","20.0%",0.39,0.17
"Alistar","Support",36,"36.7%","28.6%","65.3%","42%","33%",17,109,255,2.5,"69.0%","24.4%","11%",-43,-62,1.3,1.1,"2.4%",109,"6.2%","8.1%",1.79,0.39
"Aphelios","ADC",25,"25.5%","34.7%","60.2%","60%","68%",81,43,94,4.1,"60.1%","16.8%","24%",132,-7,3,10.3,"33.6%",432,"24.0%","27.5%",0.45,0.47
"Ashe","ADC",1,"1.0%","0.0%","1.0%","0%","100%",1,4,7,2,"88.9%","30.8%","0%",187,103,-4,9.3,"30.9%",370,"23.5%","25.3%",0.5,0.34
"Azir","Middle",20,"20.4%","24.5%","44.9%","30%","35%",50,54,94,2.7,"65.5%","19.6%","15%",-113,-62,-2,9.1,"27.3%",525,"29.2%","24.3%",0.49,0.29
"Braum","Support",1,"1.0%","0.0%","1.0%","0%","0%",0,5,2,0.4,"100.0%","26.3%","0%",-138,-226,14,1.6,"4.4%",176,"9.5%","8.6%",2.27,0.57
"Camille","Top",20,"20.4%","30.6%","51.0%","60%","20%",59,55,109,3.1,"54.9%","23.5%","30%",121,136,-1.1,8.5,"26.1%",388,"21.8%","22.8%",0.33,0.28
"Cassiopeia","Middle",1,"1.0%","0.0%","1.0%","0%","100%",0,4,4,1,"80.0%","19.0%","0%",-449,14,5,9.4,"31.1%",401,"32.2%","25.7%",0.65,0.14
"Corki","Middle",1,"1.0%","0.0%","1.0%","0%","100%",2,4,8,2.5,"76.9%","21.1%","0%",-127,-575,-4,10.3,"32.3%",674,"32.2%","28.2%",0.27,0.3
"Dr. Mundo","Jungle",2,"2.0%","1.0%","3.1%","0%","100%",6,3,0,2,"66.7%","12.5%","50%",-254,-65,1.5,6.8,"19.4%",401,"26.0%","23.2%",0.38,0.38
"Ekko","-",0,"0%","3.1%","3.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",1,"1.0%","0.0%","1.0%","100%","100%",5,0,2,7,"70.0%","0.0%","0%",-30,-149,4,10.4,"37.6%",484,"31.3%","32.3%",0.56,0.39
"Fizz","Top",1,"1.0%","0.0%","1.0%","100%","100%",4,3,6,3.3,"47.6%","30.0%","100%",439,710,11,7.1,"22.2%",385,"16.7%","20.4%",0.22,0.17
"Galio","Middle",5,"5.1%","15.3%","33.7%","40%","100%",8,8,32,5,"69.0%","15.4%","20%",-347,-258,-10.6,8.6,"25.3%",358,"24.4%","22.1%",0.56,0.23
"Galio","Support",13,"13.3%","15.3%","33.7%","46%","100%",11,41,89,2.4,"73.5%","28.3%","15%",-41,108,0.9,1.3,"3.2%",174,"9.7%","9.0%",1.74,0.44
"Gangplank","Top",9,"9.2%","12.2%","21.4%","22%","100%",24,19,46,3.7,"68.6%","14.6%","33%",60,5,-0.8,8.6,"26.6%",718,"36.8%","27.6%",0.49,0.1
"Gnar","Top",44,"44.9%","45.9%","90.8%","43%","36%",88,134,199,2.1,"56.3%","22.1%","18%",35,45,2.4,8.1,"23.6%",497,"26.9%","22.3%",0.45,0.25
"Gragas","Middle",1,"1.0%","30.6%","59.2%","100%","100%",4,1,9,13,"68.4%","12.5%","100%",-1452,-405,-19,7.8,"22.1%",381,"20.7%","20.2%",0.35,0.09
"Gragas","Support",6,"6.1%","30.6%","59.2%","50%","83%",6,22,42,2.2,"50.5%","28.2%","0%",-33,72,-8.3,0.8,"2.7%",261,"11.6%","8.2%",1.46,0.37
"Gragas","Top",21,"21.4%","30.6%","59.2%","48%","43%",35,38,111,3.8,"66.4%","17.4%","24%",-154,-101,-5.3,7.3,"20.6%",483,"27.9%","20.1%",0.45,0.13
"Graves","Jungle",31,"31.6%","24.5%","56.1%","55%","68%",98,61,160,4.2,"71.7%","18.0%","35%",27,37,0.4,7.3,"22.0%",381,"19.6%","21.9%",0.65,0.61
"Hecarim","Jungle",5,"5.1%","4.1%","9.2%","60%","80%",17,11,43,5.5,"69.8%","20.8%","40%",95,70,-2.2,5.9,"16.8%",270,"12.8%","18.1%",0.79,0.45
"Irelia","Middle",1,"1.0%","7.1%","12.2%","100%","0%",3,2,9,6,"50.0%","12.5%","0%",153,164,1,9.7,"27.2%",357,"15.7%","22.7%",0.37,0.07
"Irelia","Top",4,"4.1%","7.1%","12.2%","100%","100%",16,12,31,3.9,"62.7%","27.3%","0%",52,-312,3.5,9.3,"27.3%",483,"21.8%","24.1%",0.41,0.17
"Jarvan IV","Jungle",2,"2.0%","4.1%","10.2%","50%","100%",3,3,10,4.3,"76.5%","15.8%","0%",-182,-246,-2.5,5.3,"12.8%",232,"15.8%","15.8%",1.09,0.49
"Jarvan IV","Support",4,"4.1%","4.1%","10.2%","75%","50%",5,14,40,3.2,"72.6%","32.6%","50%",249,-116,-17.5,0.6,"2.3%",198,"9.5%","9.1%",1.6,0.51
"Jayce","Top",7,"7.1%","15.3%","22.4%","43%","86%",17,22,27,2,"63.8%","28.6%","29%",468,316,18,8.4,"25.2%",609,"31.0%","24.0%",0.49,0.33
"Jhin","ADC",13,"13.3%","0.0%","13.3%","23%","62%",42,31,41,2.7,"60.1%","15.1%","15%",-117,-138,-2.6,9.3,"28.8%",397,"21.6%","26.0%",0.48,0.32
"Kai'Sa","ADC",73,"74.5%","20.4%","94.9%","53%","15%",331,139,261,4.3,"63.3%","16.3%","21%",7,-45,0.3,9.7,"31.2%",418,"21.9%","27.1%",0.68,0.37
"Kalista","ADC",8,"8.2%","21.4%","29.6%","75%","63%",36,15,47,5.5,"69.2%","20.0%","13%",243,223,10.3,9.8,"30.7%",406,"21.8%","26.7%",0.78,0.49
"Karma","Top",1,"1.0%","0.0%","1.0%","0%","100%",1,3,3,1.3,"80.0%","18.8%","0%",-341,-104,4,7.6,"22.0%",521,"36.5%","19.6%",0.51,0.13
"Karthus","Jungle",1,"1.0%","1.0%","2.0%","0%","100%",4,4,2,1.5,"85.7%","20.0%","100%",531,897,25,7.5,"19.8%",655,"36.9%","24.0%",0.27,0.73
"Kassadin","-",0,"0%","1.0%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Top",1,"1.0%","0.0%","1.0%","0%","100%",3,4,2,1.3,"62.5%","25.0%","0%",-372,-422,-10,8.1,"23.6%",501,"24.0%","25.5%",0.6,0.24
"Kennen","Top",2,"2.0%","5.1%","7.1%","50%","100%",3,5,15,3.6,"60.0%","20.0%","0%",132,-20,8,7.9,"24.1%",535,"29.2%","21.2%",0.41,0.27
"Kindred","Jungle",5,"5.1%","2.0%","7.1%","80%","100%",9,16,34,2.7,"69.4%","25.8%","80%",-124,-403,-6,7.2,"22.6%",378,"18.9%","20.1%",0.24,0.72
"Kog'Maw","ADC",1,"1.0%","0.0%","1.0%","0%","100%",2,3,2,1.3,"50.0%","15.8%","0%",554,-69,8,9.9,"30.9%",479,"35.3%","27.0%",0.51,0.44
"Lee Sin","Jungle",2,"2.0%","0.0%","2.0%","0%","100%",4,3,7,3.7,"61.1%","9.7%","50%",-617,-1090,-24,5.8,"19.2%",167,"11.0%","19.3%",0.6,0.24
"Leona","Support",14,"14.3%","5.1%","19.4%","79%","43%",8,34,110,3.5,"62.8%","29.3%","57%",-15,26,-0.2,1.1,"2.5%",98,"5.7%","8.5%",1.81,0.42
"Lillia","Jungle",24,"24.5%","18.4%","42.9%","42%","54%",43,55,128,3.1,"64.0%","18.1%","38%",-10,80,-0.5,6.2,"16.7%",295,"17.1%","18.0%",0.76,0.4
"Lucian","Middle",5,"5.1%","22.4%","27.6%","80%","60%",25,8,20,5.6,"68.2%","17.4%","20%",228,85,7.6,10,"28.5%",548,"25.1%","26.7%",0.46,0.39
"Lulu","Support",2,"2.0%","3.1%","6.1%","50%","100%",0,7,17,2.4,"73.9%","24.1%","50%",337,287,-12,0.8,"3.6%",98,"5.3%","8.8%",1.55,0.52
"Lulu","Top",1,"1.0%","3.1%","6.1%","0%","100%",0,2,1,0.5,"50.0%","10.5%","0%",-85,-156,-1,6,"14.8%",309,"16.6%","16.1%",0.4,0.13
"Malphite","Top",1,"1.0%","1.0%","2.0%","0%","100%",1,5,3,0.8,"80.0%","33.3%","0%",-228,-207,-17,7.1,"21.5%",297,"27.8%","18.2%",0.41,0.41
"Maokai","Support",3,"3.1%","8.2%","11.2%","100%","100%",2,8,28,3.8,"53.6%","32.0%","67%",-145,-176,-1,1.3,"2.6%",443,"19.0%","8.5%",1.42,0.45
"Miss Fortune","ADC",3,"3.1%","1.0%","4.1%","33%","100%",7,8,8,1.9,"42.9%","29.6%","0%",-341,263,0.3,9.1,"28.4%",425,"22.2%","23.9%",0.51,0.33
"Mordekaiser","Top",2,"2.0%","0.0%","2.0%","50%","100%",5,8,6,1.4,"44.0%","25.0%","0%",-461,-397,-6,7.1,"19.6%",438,"27.4%","18.6%",0.49,0.12
