"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",5,"16.7%","0.0%","16.7%","20%","100%",12,16,24,2.3,"52.9%","17.8%","60%",31,-48,-7,7.7,"24.5%",412,"24.9%","21.7%",0.43,0.23
"Alistar","Support",12,"40.0%","30.0%","70.0%","42%","58%",8,41,96,2.5,"72.2%","22.4%","17%",15,-63,0.9,1.1,"2.7%",118,"6.6%","8.2%",1.59,0.34
"Aphelios","ADC",5,"16.7%","10.0%","26.7%","60%","80%",10,13,31,3.2,"66.1%","21.7%","0%",-43,-32,2.4,9.5,"32.0%",522,"26.6%","26.2%",0.48,0.31
"Azir","Middle",11,"36.7%","30.0%","66.7%","45%","45%",33,29,48,2.8,"60.9%","24.6%","18%",20,65,0.2,9.3,"27.3%",455,"24.9%","24.9%",0.41,0.28
"Bard","Support",1,"3.3%","3.3%","6.7%","100%","0%",0,2,9,4.5,"60.0%","20.0%","0%",-20,312,3,1.4,"4.6%",90,"5.0%","9.9%",2.51,0.47
"Blitzcrank","Support",4,"13.3%","3.3%","16.7%","25%","100%",1,11,19,1.8,"58.8%","19.6%","0%",-1027,-478,-51.3,1,"3.0%",122,"7.5%","7.9%",1.28,0.26
"Camille","Top",10,"33.3%","46.7%","80.0%","30%","0%",30,45,40,1.6,"63.1%","27.1%","20%",-342,-285,-4.5,7.4,"25.5%",397,"23.4%","23.4%",0.44,0.19
"Cho'Gath","Top",1,"3.3%","0.0%","3.3%","100%","100%",6,0,3,9,"45.0%","0.0%","0%",-19,129,9,8.2,"22.8%",380,"16.8%","22.5%",0.42,0.28
"Corki","Middle",1,"3.3%","0.0%","3.3%","0%","100%",1,7,2,0.4,"30.0%","26.9%","0%",-55,-628,-5,7,"22.9%",550,"25.0%","20.5%",0.39,0.11
"Dr. Mundo","Jungle",1,"3.3%","0.0%","3.3%","0%","100%",3,2,0,1.5,"50.0%","22.2%","0%",-551,-558,-9,6.5,"18.7%",198,"16.5%","23.6%",0.32,0.36
"Ezreal","ADC",3,"10.0%","3.3%","13.3%","67%","100%",16,6,8,4,"64.9%","14.0%","33%",296,547,22,8.5,"31.1%",780,"38.9%","27.9%",0.43,0.23
