"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",5,"11.1%","11.1%","22.2%","100%","60%",17,5,21,7.6,"56.7%","18.5%","20%",350,341,9.6,8.6,"24.5%",500,"27.6%","22.7%",0.48,0.17
"Akali","Middle",1,"2.2%","11.1%","13.3%","100%","0%",4,3,6,3.3,"35.7%","30.0%","0%",492,886,2,7,"16.2%",387,"17.1%","16.6%",0.32,0.19
"Alistar","Support",16,"35.6%","35.6%","71.1%","25%","56%",10,65,101,1.7,"62.7%","25.6%","25%",-54,-46,-1.6,1,"2.3%",134,"7.7%","8.0%",1.62,0.26
"Aphelios","ADC",8,"17.8%","4.4%","22.2%","38%","75%",23,17,32,3.2,"69.6%","18.1%","25%",73,232,4.6,9.6,"32.0%",496,"29.6%","28.2%",0.42,0.32
"Ashe","ADC",2,"4.4%","8.9%","13.3%","100%","100%",5,3,13,6,"69.2%","21.4%","50%",63,197,4.5,8.7,"24.0%",387,"20.6%","22.2%",0.45,0.34
"Azir","Middle",15,"33.3%","8.9%","42.2%","60%","33%",42,37,90,3.6,"65.7%","18.2%","13%",113,30,3.3,9.2,"28.9%",486,"28.1%","25.1%",0.43,0.2
"Blitzcrank","Support",1,"2.2%","4.4%","6.7%","100%","100%",1,4,10,2.8,"57.9%","50.0%","100%",190,-690,-8,0.7,"1.3%",112,"6.3%","7.4%",1.54,0.22
"Braum","Support",3,"6.7%","2.2%","8.9%","33%","67%",3,13,38,3.2,"91.1%","27.1%","33%",-93,55,-1,1.1,"2.7%",196,"10.0%","9.4%",1.6,0.41
"Caitlyn","ADC",1,"2.2%","0.0%","2.2%","0%","100%",2,3,2,1.3,"50.0%","15.8%","0%",0,-433,2,9.5,"35.4%",423,"31.8%","27.5%",0.49,0.38
"Camille","Top",6,"13.3%","51.1%","64.4%","50%","0%",15,20,30,2.3,"53.6%","21.7%","33%",-29,-149,-4.2,7.9,"25.2%",451,"26.1%","22.2%",0.38,0.14
"Cho'Gath","Top",2,"4.4%","2.2%","6.7%","100%","100%",5,5,15,4,"76.9%","20.0%","0%",-528,-153,-16.5,6.9,"20.1%",363,"19.0%","19.4%",0.42,0.05
