"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",1,"0.7%","17.7%","37.6%","0%","100%",2,4,1,0.8,"75.0%","18.2%","0%",-314,711,11,5.1,"14.1%",201,"15.5%","18.8%",0.42,0.58
"Aatrox","Top",27,"19.1%","17.7%","37.6%","44%","56%",64,62,110,2.8,"52.9%","17.7%","4%",-91,7,-3.2,8.3,"25.0%",430,"22.8%","22.1%",0.4,0.18
"Akali","Middle",3,"2.1%","35.5%","38.3%","0%","67%",6,8,8,1.8,"60.9%","15.7%","0%",-309,-313,-13,7.8,"20.6%",341,"25.2%","21.5%",0.35,0.12
"Akali","Top",1,"0.7%","35.5%","38.3%","100%","100%",8,2,4,6,"60.0%","22.2%","0%",403,49,10,7.7,"23.3%",402,"20.3%","22.0%",0.38,0.16
"Alistar","Support",60,"42.6%","30.5%","73.0%","45%","52%",41,181,499,3,"72.4%","22.6%","27%",10,48,0.3,1.1,"2.5%",143,"7.7%","8.9%",1.69,0.33
"Aphelios","ADC",29,"20.6%","27.0%","47.5%","48%","76%",118,76,143,3.4,"73.3%","19.9%","21%",65,23,2.8,10.3,"33.3%",543,"28.2%","28.8%",0.39,0.44
"Ashe","ADC",1,"0.7%","0.0%","0.7%","0%","100%",2,4,7,2.3,"45.0%","12.1%","-","-","-","-","-","-",386,"20.6%","19.2%",0.46,0.42
"Azir","Middle",25,"17.7%","10.6%","28.4%","56%","64%",82,62,123,3.3,"66.6%","18.9%","12%",81,206,7.5,9.2,"26.3%",550,"27.5%","23.9%",0.44,0.22
"Bard","Support",2,"1.4%","0.0%","1.4%","50%","100%",0,6,15,2.5,"65.2%","23.1%","0%",245,432,-7.5,0.7,"2.1%",214,"11.9%","9.6%",1.8,0.36
"Braum","Support",2,"1.4%","0.7%","2.1%","0%","50%",1,6,10,1.8,"91.7%","15.0%","0%",-56,293,6.5,1.2,"2.9%",154,"9.1%","8.8%",1.74,0.26
"Camille","Top",27,"19.1%","50.4%","69.5%","48%","30%",85,78,138,2.9,"61.8%","20.2%","37%",173,-42,0.2,8,"25.4%",440,"23.7%","23.6%",0.35,0.18
"Ekko","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",1,"0.7%","3.5%","4.3%","100%","100%",3,2,8,5.5,"55.0%","22.2%","100%",570,612,1,5.7,"17.1%",424,"20.0%","18.3%",1.62,1.28
"Ezreal","ADC",1,"0.7%","0.0%","0.7%","100%","100%",3,1,9,12,"75.0%","14.3%","100%",-141,-271,-5,8.7,"29.1%",708,"28.8%","23.6%",0.45,0.34
"Fiora","Top",1,"0.7%","0.0%","0.7%","0%","100%",0,1,1,1,"20.0%","7.1%","0%",-363,-140,10,8.5,"26.6%",208,"16.8%","20.4%",0.39,0.21
"Galio","Middle",21,"14.9%","17.0%","44.7%","29%","52%",49,65,156,3.2,"77.1%","19.5%","19%",-316,-63,-8,7.7,"22.0%",412,"23.6%","20.8%",0.42,0.14
"Galio","Support",18,"12.8%","17.0%","44.7%","39%","72%",11,69,126,2,"71.0%","31.5%","17%",-103,12,-0.3,1.2,"2.7%",160,"9.7%","8.7%",1.46,0.28
"Gangplank","Top",13,"9.2%","8.5%","17.7%","69%","100%",39,33,77,3.5,"62.0%","25.2%","8%",258,194,6.7,8.9,"26.6%",649,"28.5%","24.7%",0.4,0.11
"Gnar","Top",61,"43.3%","32.6%","75.9%","57%","43%",127,158,319,2.8,"53.7%","20.6%","10%",71,100,2,8.3,"25.2%",492,"25.2%","22.4%",0.41,0.24
"Gragas","Jungle",3,"2.1%","19.9%","51.8%","100%","67%",10,5,24,6.8,"55.7%","29.4%","33%",609,446,-2,5.4,"15.4%",343,"15.2%","15.6%",0.89,0.26
"Gragas","Support",13,"9.2%","19.9%","51.8%","46%","54%",15,43,80,2.2,"57.6%","24.0%","15%",-30,39,0.5,1.2,"2.9%",203,"10.9%","9.1%",1.67,0.42
"Gragas","Top",29,"20.6%","19.9%","51.8%","66%","45%",42,70,189,3.3,"57.5%","21.7%","21%",-260,-92,-6.2,7.2,"19.9%",389,"20.1%","18.0%",0.39,0.16
"Graves","Jungle",50,"35.5%","12.8%","48.2%","26%","58%",171,122,214,3.2,"71.4%","16.0%","30%",-84,-70,0.1,7.1,"21.7%",345,"19.3%","22.4%",0.34,0.44
"Hecarim","Jungle",9,"6.4%","3.5%","9.9%","11%","100%",25,34,39,1.9,"72.7%","21.1%","11%",-280,-382,-9.4,6,"16.4%",317,"17.1%","21.0%",0.42,0.4
"Irelia","Middle",2,"1.4%","5.7%","8.5%","0%","100%",4,12,9,1.1,"50.0%","25.0%","50%",-637,-332,7,9.5,"26.8%",287,"15.1%","23.3%",0.39,0.09
"Irelia","Top",2,"1.4%","5.7%","8.5%","50%","100%",9,7,5,2,"53.8%","20.6%","0%",684,256,23,8.9,"25.4%",359,"20.8%","24.0%",0.48,0.16
"Jarvan IV","Jungle",1,"0.7%","0.7%","2.1%","0%","100%",1,3,4,1.7,"71.4%","23.1%","100%",-178,-274,-5,5.6,"14.6%",212,"12.4%","17.1%",0.54,0.51
"Jarvan IV","Support",1,"0.7%","0.7%","2.1%","0%","100%",0,5,7,1.4,"100.0%","38.5%","100%",-59,-65,-13,0.4,"1.3%",122,"7.0%","6.7%",2,0.32
"Jax","Middle",1,"0.7%","0.0%","2.1%","0%","100%",4,2,3,3.5,"87.5%","20.0%","-","-","-","-","-","-",358,"22.7%","26.0%",0.52,0.18
"Jax","Top",2,"1.4%","0.0%","2.1%","0%","100%",2,10,7,0.9,"33.3%","21.7%","0%",-426,-250,-13,7.9,"27.8%",303,"15.1%","22.0%",0.42,0.11
"Jayce","Middle",2,"1.4%","21.3%","35.5%","50%","100%",4,6,13,2.8,"63.0%","14.0%","0%",-212,130,3,7.5,"20.8%",651,"33.0%","20.4%",0.43,0.46
"Jayce","Top",18,"12.8%","21.3%","35.5%","72%","100%",56,48,103,3.3,"62.8%","26.7%","17%",225,62,9.5,8.4,"25.0%",667,"31.4%","22.6%",0.43,0.25
"Jhin","ADC",29,"20.6%","5.0%","25.5%","38%","45%",95,56,117,3.8,"65.8%","14.2%","21%",12,45,2.2,9,"29.6%",400,"23.2%","25.7%",0.46,0.26
"Kai'Sa","ADC",84,"59.6%","35.5%","95.0%","62%","7%",455,180,396,4.7,"69.1%","17.2%","27%",-61,47,0.2,10,"31.8%",494,"25.0%","27.3%",0.46,0.36
"Kalista","ADC",4,"2.8%","1.4%","4.3%","0%","100%",7,13,8,1.2,"44.1%","18.1%","50%",186,-41,12,9.7,"32.5%",355,"20.0%","26.1%",0.62,0.34
"Karma","Middle",1,"0.7%","0.0%","2.8%","100%","0%",2,1,3,5,"83.3%","16.7%","0%",-182,-476,-8,7.2,"19.8%",336,"21.4%","21.6%",0.47,0.32
"Karma","Support",1,"0.7%","0.0%","2.8%","100%","100%",0,3,18,6,"78.3%","60.0%","100%",235,-365,-10,0.8,"3.3%",440,"14.4%","11.5%",1.47,0.44
